repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors,new-commits-last-30d
ajenti/ajenti,7494,26,8,3,1,3.469,0,9,5311,19,Python,false,0,Admin Panels,,57.000,2,2
sehmaschine/django-grappelli,3729,38,14,4,0,10.190,3,25,5288,77,HTML,false,0,Admin Panels,,37.000,1,3
flask-admin/flask-admin,5744,25,17,8,4,4.352,0,1,4564,334,Python,false,0,Admin Panels,,85.000,4,31
mher/flower,6394,55,23,12,0,8.602,1,15,4453,193,Python,false,0,Admin Panels,,42.000,3,3
jet-admin/jet-bridge,1635,12,8,4,0,7.339,2,17,2091,4,Python,false,1,Admin Panels,,33.000,1,5
wooey/wooey,2114,15,4,2,0,7.096,6,277,3487,23,Python,false,0,Admin Panels,,16.000,0,0
streamlit/streamlit,34550,583,223,105,12,16.874,0,0,1850,241,Python,false,0,Admin Panels,,100.000,18,85
keon/algorithms,23938,95,37,14,2,3.969,0,223,2859,196,Python,false,0,Algorithms and Design Patterns,Algorithms,50.000,0,0
prabhupant/python-ds,2786,26,12,4,0,9.332,1,163,1876,98,Python,false,0,Algorithms and Design Patterns,Algorithms,25.000,0,0
grantjenks/python-sortedcontainers,3470,48,22,10,2,13.833,0,198,3857,23,Python,false,1,Algorithms and Design Patterns,Algorithms,40.000,0,0
TheAlgorithms/Python,184208,1133,516,269,46,6.151,0,6,2984,1237,Python,false,3,Algorithms and Design Patterns,Algorithms,100.000,4,6
tylerlaberge/PyPattyrn,2256,16,11,2,1,7.092,0,113,2982,3,Python,true,1,Algorithms and Design Patterns,Design Patterns,1.000,0,0
faif/python-patterns,40201,195,79,40,4,4.851,0,10,4484,112,Python,false,0,Algorithms and Design Patterns,Design Patterns,82.000,1,3
pytransitions/transitions,5645,70,39,18,1,12.400,0,34,3626,65,Python,false,0,Algorithms and Design Patterns,Design Patterns,56.000,0,0
django/daphne,2361,28,15,10,3,11.859,0,21,3190,69,Python,false,0,ASGI Servers,,47.000,2,5
encode/uvicorn,8360,118,69,36,4,14.115,0,3,2665,207,Python,false,20,ASGI Servers,,92.000,2,2
pgjones/hypercorn,1109,21,12,6,1,18.936,0,103,2298,56,Python,false,14,ASGI Servers,,35.000,0,0
python-trio/trio,6092,62,35,12,3,10.177,0,0,2800,152,Python,false,0,Asynchronous Programming,,100.000,8,24
twisted/twisted,5553,38,17,9,1,6.843,0,0,4825,186,Python,false,0,Asynchronous Programming,,95.000,9,52
MagicStack/uvloop,10273,78,29,9,0,7.593,1,13,3235,73,Cython,false,0,Asynchronous Programming,,52.000,4,4
eventlet/eventlet,1242,3,0,0,0,2.415,18,5,4297,157,Python,false,0,Asynchronous Programming,,34.000,1,1
gevent/gevent,6233,16,10,4,2,2.567,0,215,4385,97,Python,false,5,Asynchronous Programming,,31.000,0,0
beetbox/audioread,482,0,0,0,0,0.000,32,276,4695,41,Python,false,0,Audio,Audio,0.000,0,0
libAudioFlux/audioFlux,2743,73,22,12,0,26.613,1,115,609,5,C,false,0,Audio,Audio,30.000,0,0
worldveil/dejavu,6400,19,7,2,0,2.969,3,1566,3954,22,Python,false,7,Audio,Audio,21.000,0,0
keunwoochoi/kapre,918,2,1,1,1,2.179,0,805,2833,13,Python,false,0,Audio,Audio,22.000,0,0
librosa/librosa,7009,105,70,16,1,14.981,0,7,4349,117,Python,false,0,Audio,Audio,82.000,1,3
sergree/matchering,1308,35,17,13,3,26.758,0,54,2179,3,Python,false,5,Audio,Audio,41.000,0,0
tyiannak/pyAudioAnalysis,5804,27,10,4,0,4.652,1,330,3673,22,Python,false,11,Audio,Audio,25.000,0,0
jiaaro/pydub,8772,84,39,17,3,9.576,0,648,4886,82,Python,false,0,Audio,Audio,50.000,0,0
Parisson/TimeSide,368,0,0,0,0,0.000,66,593,4682,20,Python,false,176,Audio,Audio,0.000,0,0
beetbox/beets,12742,92,50,27,4,7.220,0,0,5151,486,Python,false,31,Audio,Metadata,100.000,9,42
nicfit/eyeD3,536,2,1,0,0,3.731,12,37,2794,23,Python,false,14,Audio,Metadata,13.000,0,0
quodlibet/mutagen,1531,24,5,1,0,15.676,6,14,3084,42,Python,false,1,Audio,Metadata,30.000,1,1
devsnd/tinytag,690,5,3,1,0,7.246,6,18,3885,23,Python,false,0,Audio,Metadata,24.000,1,7
lepture/authlib,4497,60,35,19,1,13.342,0,12,2516,116,Python,false,0,Authentication,OAuth,76.000,4,11
pennersr/django-allauth,9411,136,65,26,4,14.451,0,1,5089,649,Python,false,0,Authentication,OAuth,100.000,12,51
jazzband/django-oauth-toolkit,3119,25,15,4,1,8.015,0,7,4137,862,Python,false,0,Authentication,OAuth,61.000,8,15
oauthlib/oauthlib,2796,22,14,5,2,7.868,0,34,4684,179,Python,false,3,Authentication,OAuth,41.000,0,0
jpadilla/pyjwt,5082,43,18,10,0,8.461,1,9,4952,148,Python,false,0,Authentication,JWT,51.000,7,11
openembedded/bitbake,425,6,1,0,0,14.118,9,0,4884,255,Python,false,0,Build Tools,,63.000,9,13
buildout/buildout,575,3,1,1,0,5.217,4,3,4557,83,Python,false,2,Build Tools,,52.000,4,28
platformio/platformio-core,7827,70,31,18,4,8.943,0,0,3783,84,Python,false,0,Build Tools,,100.000,2,10
pybuilder/pybuilder,1701,13,5,3,1,7.643,0,33,4438,35,Python,false,0,Build Tools,,32.000,0,0
SCons/scons,2058,23,11,8,0,11.176,1,0,2548,114,Python,false,0,Build Tools,,85.000,2,30
python-attrs/attrs,5237,50,25,10,2,9.547,0,2,3520,170,Python,false,0,Built-in Classes Enhancement,,86.000,3,16
jab/bidict,1469,16,5,3,1,10.892,0,9,3646,17,Python,false,0,Built-in Classes Enhancement,,48.000,1,4
cdgriffith/Box,2535,111,28,16,1,43.787,0,95,2746,15,Python,false,3,Built-in Classes Enhancement,,40.000,0,0
carlosescri/DottedDict,187,1,0,0,0,5.348,28,3244,3846,3,Python,false,0,Built-in Classes Enhancement,,2.000,0,0
feincms/feincms,937,8,6,3,0,8.538,4,10,5710,101,Python,false,0,CMS,,39.000,2,4
indico/indico,1739,23,13,8,2,13.226,0,0,4800,103,Python,false,138,CMS,,95.000,12,61
wagtail/wagtail,17880,164,58,34,5,9.172,0,0,3878,762,Python,false,0,CMS,,100.000,11,108
bbangert/beaker,517,1,1,0,0,1.934,11,157,4719,75,Python,false,0,Caching,,5.000,0,0
django-cache-machine/django-cache-machine,875,2,0,0,0,2.286,17,574,5332,18,Python,false,0,Caching,,4.000,0,0
Suor/django-cacheops,2094,12,5,1,0,5.731,1,82,4853,62,Python,false,1,Caching,,16.000,0,0
sqlalchemy/dogpile.cache,241,8,3,3,0,33.195,1,14,2122,56,Python,false,0,Caching,,22.000,1,1
